sin_theta1,cos_theta1,sin_theta2,cos_theta2,tau1_dynamics,tau2_next
0.1951690880571234,0.9807696095755368,-0.1476835184121321,0.9890346699632998,-1.5518312683451585,-0.1195109989982683
0.1941976134177866,0.98096242891501,-0.1479384782286817,0.988996565544786,-1.5408930563861118,-0.1160929203172281
0.1932563896912638,0.9811482904451796,-0.1482621805064599,0.9889480905646514,-1.5300746746099465,-0.1125905553122479
0.1923453459259103,0.9813272990703162,-0.1486545351566085,0.9888891895340816,-1.5193741993275809,-0.1090034043779026
0.1914644175948906,0.9814995551680344,-0.1491154708799368,0.9888197896200576,-1.5087896959923526,-0.1053309691513943
0.19061354659112,0.9816651546509916,-0.1496449350812686,0.9887398006576468,-1.4983192171813722,-0.1015727519349931
0.189792681218289,0.9818241890256996,-0.1502428937679351,0.9886491151425956,-1.4879608004808358,-0.0977282552127447
0.1890017761779875,0.9819767454484684,-0.1509093314323758,0.9885476082043968,-1.4777124662751884,-0.0937969812604246
0.1882407925529274,0.9821229067784978,-0.1516442509187535,0.9884351375600172,-1.4675722154399902,-0.089778431847811
0.1875096977862509,0.982262751628152,-0.1524476732734268,0.9883115434484808,-1.4575380269382645,-0.0856721080324355
0.186808465656897,0.9823963544104364,-0.1533196375790759,0.988176648546514,-1.4476078553200324,-0.0814775100440704
0.186137076250984,0.9825237853837104,-0.1542602007722108,0.988030257865475,-1.4377796281247748,-0.0771941372592851
0.1854955159291558,0.9826451106936708,-0.1552694374437482,0.9878721586298006,-1.428051243186512,-0.0728214882654888
0.184883777289821,0.9827603924126408,-0.156347439622278,0.9877021201372194,-1.41842056584126,-0.0683590610139365
0.1843018591282066,0.9828696885762052,-0.1574943165395978,0.9875198936009972,-1.4088854260366606,-0.0638063530612489
0.1837497663911312,0.9829730532172308,-0.1587101943780325,0.987325211974498,-1.3994436153436864,-0.0591628618990256
0.1832275101273918,0.983070536397321,-0.1599952159990136,0.9871177897583596,-1.390092883870429,-0.0544280853711903
0.1827351074336454,0.9831621842357516,-0.1613495406523373,0.9868973227906132,-1.380830937078142,-0.0496015221787173
0.1822725813956569,0.9832480389359358,-0.1627733436654736,0.9866634880200856,-1.3716554324999073,-0.0446826724714035
0.1818399610247678,0.9833281388094774,-0.1642668161122531,0.9864159432634608,-1.3625639763625192,-0.0396710385263494
0.1814372811894363,0.9834025182978664,-0.1658301644602092,0.9861543269463964,-1.3535541201124488,-0.034566125512783
0.1810645825416814,0.9834712079918796,-0.1674636101958137,0.985878257829122,-1.3446233568470751,-0.0293674423428309
0.1807219114382589,0.98353423464875,-0.1691673894267955,0.9855873347169812,-1.3357691176527329,-0.0240745026077764
0.1804093198563824,0.9835916212071744,-0.1709417524606981,0.9852811361564096,-1.32698876785152,-0.018686825599266
0.1801268653037979,0.9836433868002302,-0.1727869633587874,0.9849592201168784,-1.3182796031592936,-0.0132039374148272
0.179874610723006,0.9836895467662788,-0.1747032994643886,0.984621123659378,-1.3096388457577606,-0.0076253721469333
0.1796526243894232,0.9837301126579346,-0.1766910509046988,0.9842663625920542,-1.3010636402841755,-0.0019506731547029
0.1794609798032613,0.983765092249188,-0.1787505200650842,0.9838944311136546,-1.2925510497427428,0.0038206055828524
0.1792997555749,0.9837944895407684,-0.1808820210348539,0.9835048014454972,-1.284098051342528,0.0096888980333243
0.1791690353035221,0.9838183047638448,-0.1830858790234682,0.9830969234527204,-1.2757015322674106,0.0156546245986654
0.1790689074487717,0.983836534382162,-0.1853624297461243,0.9826702242556316,-1.267358285384414,0.0217181905259932
0.178999465195196,0.9838491710927209,-0.1877120187776464,0.9822241078320264,-1.2590650048976129,0.0278799842435103
0.1789608063092276,0.9838562038251072,-0.1901350008735908,0.9817579546114203,-1.2508182819557496,0.0341403756239358
0.1789530329884577,0.9838576177395956,-0.1926317392574744,0.9812711210621864,-1.2426146002226666,0.0404997141781981
0.1789762517029569,0.9838533942241394,-0.1952026048730321,0.980762939272678,-1.2344503314207322,0.0469583271825272
0.1790305730283951,0.9838435108903876,-0.1978479756004092,0.9802327165274682,-1.226321730858529,0.0535165177425009
0.1791161114707173,0.9838279415688546,-0.2005682354352109,0.979679734879928,-1.218224932955266,0.060174562798061
0.1792329852821346,0.9838066563033888,-0.2033637736293425,0.979103250722432,-1.2101559467755991,0.0669327110739936
0.1793813162681956,0.9837796213450904,-0.2062349837926014,0.9785024943555664,-1.202110651589817,0.0737911809808968
0.179561229585709,0.9837467991458312,-0.2091822629540119,0.9778766695577916,-1.1940847924757054,0.0807501584721981
0.1797728535313007,0.983708148351539,-0.212206010581933,0.977224953157102,-1.1860739759797732,0.087809794863377
0.1800163193203955,0.98366362379542,-0.2153066275620202,0.9765464946063088,-1.1780736658569302,0.0949702046201509
0.1802917608564288,0.9836131764912912,-0.2184845151321775,0.9758404155636604,-1.1700791789091711,0.1022314631230188
0.1805993144901114,0.9835567536272128,-0.2217400737737026,0.9751058094806084,-1.1620856809452873,0.1095936044162196
0.1809391187685823,0.9834942985596048,-0.2250737020579085,0.9743417411986144,-1.1540881828850993,0.1170566189498384
0.1813113141743111,0.9834257508080536,-0.2284857954475883,0.9735472465569828,-1.1460815370332036,0.1246204513244918
0.1817160428536307,0.983351046051011,-0.2319767450527946,0.9727213320138048,-1.138060433548672,0.1322849980487282
0.1821534483348071,0.9832701161225936,-0.2355469363405069,0.971862974282178,-1.1300193971386134,0.1400501053199902
0.1826236752355808,0.9831828890107116,-0.2391967477978932,0.9709711199839628,-1.121952784004864,0.1479155668407065
0.183126868960148,0.983089288856741,-0.2429265495489952,0.9700446853234234,-1.1138547790744455,0.1558811216817724
0.183663175385579,0.9829892359569792,-0.2467367019248234,0.9690825557831804,-1.1057193935456566,0.1639464522063862
0.1842327405377128,0.9828826467661153,-0.2506275539869987,0.96808358584499,-1.097540462782808,0.1721111820678607
0.1848357102566009,0.9827694339029568,-0.2545994420052573,0.9670465987379364,-1.0893116445936526,0.1803748742956787
0.1854722298516229,0.9826495061586644,-0.2586526878893121,0.9659703862166966,-1.0810264179244122,0.1887370294846465
0.186142443746433,0.982522768507736,-0.2627875975757704,0.9648537083725984,-1.072678082008015,0.197197084102549
0.1868464951139541,0.9823891221219986,-0.2670044593710072,0.9636952934802556,-1.0642597560016265,0.205754408932189
0.1875845255016772,0.9822484643878608,-0.2713035422511247,0.962493837882608,-1.0557643791498568,0.2144083076640959
0.1883566744475862,0.9821006889270804,-0.2756850941203557,0.9612480059172298,-1.0471847115100048,0.2231580156565154
0.189163079087076,0.981945685621306,-0.280149340029516,0.9599564298868084,-1.0385133352754337,0.2320026988795093
0.1900038737512975,0.9817833406406432,-0.2846964803563651,0.9586177100767008,-1.0297426567325974,0.2409414530601062
0.190879189557414,0.981613536476502,-0.2893266889499977,0.9572304148224874,-1.0208649088863022,0.2499733030454377
0.1917891539913251,0.981436151978972,-0.2940401112416629,0.955793080630421,-1.0118721547864933,0.2590972024006446
0.1927338904834691,0.9812510623989694,-0.298836862324686,0.9543042123536586,-1.002756291588202,0.2683120332580495
0.1937135179783823,0.981058139435395,-0.3037170250064522,0.9527622834271045,-0.9935090553741838,0.277616606433642
0.1947281504987612,0.9808572512875317,-0.3086806478357021,0.9511657361636464,-0.984122026767284,0.2870096618263124
0.1957778967048315,0.9806482627129016,-0.3137277431086798,0.9495129821144808,-0.9745866373566012,0.2964898691144711
0.1968628594499008,0.9804310350907954,-0.3188582848579617,0.9478024024961316,-0.9648941769581194,0.3060558287637285
0.1979831353330291,0.9802054264916632,-0.3240722068280906,0.9460323486866458,-0.9550358017266186,0.3157060733581407
0.1991388142498183,0.9799712917525576,-0.3293694004424164,0.9442011427933156,-0.9450025431313231,0.3254390692661725
0.2003299789423805,0.979728482558788,-0.3347497127658291,0.9423070782941168,-0.9347853178030135,0.3352532186509857
0.2015567045496038,0.9794768475319382,-0.3402129444683335,0.9403484207548746,-0.9243749382550496,0.3451468618329176
0.2028190581588897,0.9792162323243732,-0.345758847794676,0.938323408623966,-0.913762124475154,0.3551182800100841
0.2041170983605874,0.9789464797203442,-0.3513871245454708,0.9362302541061498,-0.90293751637874,0.3651656983409285
0.2054508748063967,0.9786674297437749,-0.357097424075501,0.934067144116868,-0.8918916871081747,0.3752872893902647
0.2068204277730538,0.9783789197727898,-0.3628893413150699,0.9318322413181004,-0.8806151571556422,0.3854811769378947
0.2082257877326497,0.9780807846610204,-0.3687624148204595,0.929523685236575,-0.8690984092803073,0.3957454401463255
0.2096669749309617,0.9777728568656932,-0.3747161248597061,0.9271395934648272,-0.8573319041832528,0.4060781180813679
0.2111439989751979,0.9774549665824824,-0.3807498915400247,0.9246780629452932,-0.8453060968963716,0.4164772145766084
0.2126568584325735,0.9771269418870756,-0.3868630729833126,0.9221371713372736,-0.8330114538339664,0.4269407034298513
0.2142055404411433,0.9767886088833744,-0.3930549635562114,0.9195149784662702,-0.8204384704484413,0.4374665339166861
0.215790020334309,0.9764397918582172,-0.399324792161239,0.9168095278548228,-0.8075776894241948,0.4480526366033971
0.2174102612804161,0.9760803134424856,-0.4056717205954753,0.9140188483336144,-0.7944197193367384,0.4586969294384905
0.2190662139388265,0.975709994778422,-0.4120948419832391,0.9111409557312246,-0.7809552536972552,0.4693973240992392
0.2207578161338303,0.9753286556929526,-0.418593179289086,0.9081738546405392,-0.7671750902964429,0.4801517325668563
0.222484992547715,0.9749361148767868,-0.4251656839173223,0.9051155402594276,-0.7530701507555335,0.4909580739012429
0.2242476544342615,0.974532190069026,-0.4318112344040398,0.9019640003029274,-0.7386315001870616,0.5018142811837617
0.2260456993538774,0.9741166982469897,-0.4385286352074556,0.8987172169837887,-0.7238503668633043,0.5127183085941913
0.2278790109315076,0.9736894558209398,-0.4453166156020611,0.8953731690578661,-0.7087181617864021,0.5236681385859568
0.2297474586383805,0.9732502788333562,-0.4521738286817786,0.8919298339304844,-0.6932264980511474,0.5346617891219436
0.2316508975985648,0.9727989831623896,-0.4590988504769666,0.8883851898195556,-0.6773672098893128,0.5456973209317176
0.2335891684212067,0.9723353847291012,-0.4660901791897184,0.8847372179709047,-0.661132371283239,0.5567728447498169
0.23556209705922,0.9718592997080712,-0.4731462345514734,0.8809839049209481,-0.6445143140363438,0.5678865284939807
0.2375694946950809,0.9713705447409468,-0.480265357306488,0.8771232448015908,-0.6275056451891782,0.5790366043417483
0.2396111576542663,0.970868937152478,-0.4874458088242246,0.8731532416819499,-0.610099263671761,0.5902213756638203
0.2416868673467428,0.9703542951685832,-0.4946857708431844,0.8690719119412872,-0.5922883760861266,0.6014392237729271
0.2437963902367898,0.9698264381359744,-0.5019833453481685,0.8648772866673407,-0.5740665115173078,0.6126886144476991
0.2459394778412982,0.9692851867428643,-0.5093365545823803,0.8605674140740806,-0.5554275352764008,0.6239681041921851
0.248115866756559,0.9687303632402784,-0.5167433411952013,0.8561403619327965,-0.5363656614857174,0.6352763461931903
