episode,time,theta1,theta2,omega1,omega2,tau1_dynamics,tau2_dynamics,kinetic_energy,potential_energy
0,0.002,0.19642985064987317,-0.1482256967318305,-0.5029852798543091,-0.11149955129271293,-1.5518312683451585,-0.12284529287638032,0.13271317084429696,0.0
0,0.004,0.19543942531056852,-0.14848348822729412,-0.4874482417337886,-0.14628343568682015,-1.5408930563861118,-0.11951099899826834,0.12950231596285103,0.0
0,0.006,0.19448002618488186,-0.14881079998891342,-0.4719584518499481,-0.1810215891372056,-1.5300746746099465,-0.1160929203172281,0.12775679800317952,0.0
0,0.008,0.19355156245797075,-0.14920755117663725,-0.4565122309270342,-0.21572462929994046,-1.5193741993275809,-0.1125905553122479,0.12747026633628725,0.0
0,0.01,0.19265395065897795,-0.14967368215934584,-0.44110591447344216,-0.25040314680113573,-1.5087896959923526,-0.10900340437790262,0.1286380818556814,0.0
0,0.012,0.19178711463015585,-0.15020915445690255,-0.42573585408945497,-0.2850677013510684,-1.4983192171813722,-0.10533096915139437,0.1312573059054298,0.0
0,0.014,0.19095098549337036,-0.1508139506744415,-0.4103984187811388,-0.3197288178624357,-1.4879608004808358,-0.10157275193499318,0.13532668955488478,0.0
0,0.016,0.19014550161396546,-0.15148807442887957,-0.3950899962868744,-0.3543969825534393,-1.4777124662751884,-0.09772825521274475,0.1408466632044726,0.0
0,0.018000000000000002,0.18937060856195667,-0.15223155026760354,-0.37980699442291666,-0.3890826390166804,-1.4675722154399902,-0.09379698126042463,0.14781932649837692,0.0
0,0.020000000000000004,0.18862625907050926,-0.15304442357924528,-0.3645458424542864,-0.42379618423512494,-1.4575380269382645,-0.08977843184781104,0.15624843851147868,0.0
0,0.022000000000000006,0.1879124129916439,-0.1539267604964204,-0.3493029924972118,-0.4585479645266837,-1.4476078553200324,-0.08567210803243555,0.166139408169536,0.0
0,0.024000000000000007,0.18722903724910106,-0.1548786477902697,-0.334074920959245,-0.49334827139924003,-1.4377796281247748,-0.08147751004407047,0.177499284853272,0.0
