t,theta1,theta2,omega1,omega2,tau1,tau2,alpha1_pred,alpha2_pred
0.10400000000000001,0.058145039216995265,0.14941951612091064,-0.7801823024749756,1.8501374282836918,1.0,0.0,-7.174137592315674,16.92884635925293
0.106,0.05655597806167605,0.15318750636291503,-0.7945305776596069,1.8839951210021977,1.0,0.0,-7.155660152435303,16.88457489013672
0.108,0.0549382942657471,0.15702303490447997,-0.8088418979644775,1.9177642707824711,1.0,0.0,-7.136531352996826,16.839101791381836
0.11,0.053292064344406156,0.16092591985321045,-0.8231149606704711,1.9514424743652348,1.0,0.0,-7.1166911125183105,16.792333602905273
0.112,0.05161736765861514,0.16489597413635254,-0.8373483428955077,1.9850271415710452,1.0,0.0,-7.096133232116699,16.744245529174805
0.114,0.04991428643989566,0.16893300540161132,-0.8515406093597412,2.018515632629395,1.0,0.0,-7.074833869934082,16.69478416442871
0.116,0.04818290588569644,0.17303681580352784,-0.8656902770996093,2.0519052009582524,1.0,0.0,-7.052760601043701,16.643901824951172
0.11800000000000001,0.04642331428909304,0.17720720181274416,-0.8797957983016967,2.0851930046081546,1.0,0.0,-7.029888153076172,16.591510772705078
0.12,0.04463560313987734,0.1814439538650513,-0.893855574607849,2.1183760261535647,1.0,0.0,-7.006201267242432,16.53760528564453
0.122,0.04281986718559267,0.18574685633850102,-0.9078679771423339,2.1514512367248537,1.0,0.0,-6.981680870056152,16.482141494750977
0.124,0.040976204507827775,0.19011568737792972,-0.9218313388824462,2.1844155197143555,1.0,0.0,-6.956297874450684,16.4250431060791
0.126,0.03910471663856508,0.19455021858978275,-0.9357439346313475,2.2172656059265137,1.0,0.0,-6.930044174194336,16.366283416748047
0.128,0.03720550859260561,0.19905021493530276,-0.9496040229797362,2.2499981727600096,1.0,0.0,-6.902902603149414,16.305810928344727
0.13,0.03527868893623354,0.20361543452453615,-0.963409828186035,2.282609794616699,1.0,0.0,-6.874860763549805,16.243606567382812
0.132,0.03332436983680727,0.20824562854003908,-0.9771595497131347,2.3150970077514645,1.0,0.0,-6.845897674560547,16.179590225219727
0.134,0.031342667146682754,0.2129405409164429,-0.9908513450622558,2.347456188201904,1.0,0.0,-6.816032409667969,16.113800048828125
0.136,0.029333700326919572,0.21769990849304202,-1.0044834098815918,2.3796837882995603,1.0,0.0,-6.785232067108154,16.046154022216797
0.138,0.027297592578887957,0.22252346068573,-1.018053874015808,2.411776096343994,1.0,0.0,-6.753502368927002,15.976602554321289
0.14,0.025234470821380632,0.22741091928863527,-1.031560878753662,2.4437293014526364,1.0,0.0,-6.7208404541015625,15.905155181884766
0.14200000000000002,0.0231444657020569,0.23236199851226808,-1.0450025596618653,2.475539611816406,1.0,0.0,-6.687261581420898,15.831804275512695
0.14400000000000002,0.02102771153640749,0.23737640495300294,-1.058377082824707,2.5072032203674315,1.0,0.0,-6.652768611907959,15.756507873535156
0.146,0.018884346296310445,0.24245383742523194,-1.071682620048523,2.5387162361145017,1.0,0.0,-6.617362976074219,15.679239273071289
0.148,0.0167145116043091,0.24759398685455322,-1.0849173460006714,2.5700747146606444,1.0,0.0,-6.5810651779174805,15.600052833557129
0.15,0.014518352651596088,0.2527965364952087,-1.0980794763565063,2.6012748203277587,1.0,0.0,-6.543890953063965,15.518879890441895
0.152,0.01229601813507082,0.25806116165542603,-1.1111672582626342,2.6323125801086427,1.0,0.0,-6.505853652954102,15.435754776000977
0.154,0.010047660203933734,0.26338752983474734,-1.1241789655685424,2.6631840896606445,1.0,0.0,-6.466987609863281,15.350675582885742
0.156,0.0077734343223571966,0.26877530071640016,-1.137112940788269,2.693885440826416,1.0,0.0,-6.427319049835205,15.263671875
0.158,0.005473499164581318,0.274224126285553,-1.1499675788879393,2.7244127845764163,1.0,0.0,-6.386875629425049,15.174755096435547
0.16,0.0031480165042877387,0.27973365087509156,-1.1627413301467895,2.7547622947692876,1.0,0.0,-6.345686435699463,15.083930969238281
0.162,0.0007971510982513618,0.2853035111885071,-1.1754327030181884,2.7849301567077642,1.0,0.0,-6.3038010597229,14.991260528564453
0.164,-0.001578929512023907,0.2909333365440369,-1.1880403051376343,2.814912677764893,1.0,0.0,-6.261262893676758,14.896748542785645
0.166,-0.003980055173873883,0.29662274889373785,-1.2005628309249878,2.8447061748504643,1.0,0.0,-6.218103885650635,14.800464630126953
0.168,-0.006406053251266461,0.3023713631019593,-1.212999038696289,2.874307104110718,1.0,0.0,-6.174374103546143,14.702445030212402
0.17,-0.008856748825073223,0.30817878709030155,-1.2253477869033813,2.903711994171143,1.0,0.0,-6.130132675170898,14.602741241455078
0.17200000000000001,-0.01133196492958067,0.31404462204360967,-1.2376080522537232,2.9329174766540533,1.0,0.0,-6.085425853729248,14.501441955566406
0.17400000000000002,-0.013831522737503033,0.31996846276474006,-1.2497789039611817,2.9619203605651863,1.0,0.0,-6.040315628051758,14.398567199707031
0.176,-0.016355241807937605,0.32594989775466926,-1.2618595352172852,2.9907174949646005,1.0,0.0,-5.994862079620361,14.29422664642334
0.178,-0.018902940326690657,0.33198850965118415,-1.273849259376526,3.0193059482574474,1.0,0.0,-5.949110507965088,14.188444137573242
0.18,-0.02147443528747557,0.3380838753242493,-1.2857474803924562,3.047682836532594,1.0,0.0,-5.903143405914307,14.081338882446289
0.182,-0.02406954282188414,0.3442355663528443,-1.297553767204285,3.0758455142974865,1.0,0.0,-5.857011795043945,13.973006248474121
0.184,-0.026688078403472884,0.3504431494064332,-1.3092677907943728,3.103791526794435,1.0,0.0,-5.81078577041626,13.863502502441406
0.186,-0.029329857128143295,0.3567061864700318,-1.3208893623352054,3.1315185317993177,1.0,0.0,-5.7645368576049805,13.752951622009277
0.188,-0.03199469400024413,0.3630242353401185,-1.3324184360504154,3.159024435043336,1.0,0.0,-5.718319892883301,13.641424179077148
0.19,-0.03468240415191649,0.3693968499069215,-1.343855075836182,3.1863072834014905,1.0,0.0,-5.67220401763916,13.529019355773926
0.192,-0.03739280311965942,0.37582358055114756,-1.3551994838714603,3.2133653221130385,1.0,0.0,-5.626272201538086,13.415860176086426
0.194,-0.04012570717620849,0.38230397463607796,-1.3664520282745365,3.2401970424652116,1.0,0.0,-5.580570220947266,13.302024841308594
0.196,-0.04288093351364135,0.3888375768203736,-1.377613168716431,3.2668010921478285,1.0,0.0,-5.535162448883057,13.187658309936523
0.198,-0.04565830050086974,0.395423929637909,-1.3886834936141972,3.293176408767702,1.0,0.0,-5.4901275634765625,13.072810173034668
0.2,-0.04845762799835204,0.40206257369613657,-1.3996637487411503,3.319322029113771,1.0,0.0,-5.445526599884033,12.957603454589844
0.202,-0.05127873760223388,0.4087530481681825,-1.4105548019409184,3.3452372360229505,1.0,0.0,-5.401413440704346,12.842194557189941
0.20400000000000001,-0.05412145285987853,0.41549489141845714,-1.421357628822327,3.3709216251373304,1.0,0.0,-5.3578410148620605,12.7266263961792
0.20600000000000002,-0.05698559948158263,0.4222876411743165,-1.4320733108520511,3.3963748779296887,1.0,0.0,-5.314875602722168,12.611024856567383
0.20800000000000002,-0.05987100560569762,0.42913083502960214,-1.4427030620574954,3.4215969276428235,1.0,0.0,-5.272572040557861,12.495482444763184
0.21,-0.06277750201797484,0.43602401081466685,-1.4532482061386112,3.44658789253235,1.0,0.0,-5.230972766876221,12.380118370056152
