episode,time,sin_theta1,cos_theta1,sin_theta2,cos_theta2,tau1_dynamics,tau2_dynamics
0,0.002,0.1951690880571234,0.9807696095755367,-0.1476835184121321,0.9890346699632998,-1.5518312683451585,-0.1228452928763803
0,0.004,0.19419761341778666,0.98096242891501,-0.14793847822868172,0.9889965655447859,-1.5408930563861118,-0.1195109989982683
0,0.006,0.19325638969126382,0.9811482904451795,-0.14826218050645998,0.9889480905646514,-1.5300746746099465,-0.1160929203172281
0,0.008,0.1923453459259103,0.9813272990703162,-0.14865453515660856,0.9888891895340816,-1.5193741993275809,-0.1125905553122479
0,0.01,0.19146441759489063,0.9814995551680343,-0.14911547087993685,0.9888197896200575,-1.5087896959923526,-0.1090034043779026
0,0.012,0.19061354659112,0.9816651546509915,-0.14964493508126864,0.9887398006576467,-1.4983192171813722,-0.1053309691513943
0,0.014,0.189792681218289,0.9818241890256997,-0.15024289376793512,0.9886491151425955,-1.4879608004808358,-0.1015727519349931
0,0.016,0.1890017761779875,0.9819767454484684,-0.15090933143237584,0.9885476082043967,-1.4777124662751884,-0.0977282552127447
0,0.018,0.1882407925529274,0.9821229067784978,-0.1516442509187535,0.9884351375600172,-1.4675722154399902,-0.0937969812604246
0,0.02,0.18750969778625098,0.9822627516281521,-0.15244767327342687,0.9883115434484808,-1.4575380269382645,-0.089778431847811
0,0.022,0.18680846565689707,0.9823963544104365,-0.15331963757907593,0.9881766485465141,-1.4476078553200324,-0.0856721080324355
0,0.024,0.18613707625098402,0.9825237853837103,-0.15426020077221084,0.988030257865475,-1.4377796281247748,-0.0814775100440704
0,0.026,0.1854955159291558,0.9826451106936707,-0.1552694374437482,0.9878721586298006,-1.428051243186512,-0.0771941372592851
0,0.028,0.184883777289821,0.9827603924126409,-0.15634743962227804,0.9877021201372194,-1.41842056584126,-0.0728214882654888
0,0.03,0.18430185912820665,0.9828696885762053,-0.15749431653959783,0.9875198936009972,-1.4088854260366606,-0.0683590610139365
0,0.032,0.18374976639113125,0.9829730532172307,-0.1587101943780325,0.9873252119744979,-1.3994436153436864,-0.0638063530612489
0,0.034,0.1832275101273918,0.983070536397321,-0.15999521599901362,0.9871177897583596,-1.390092883870429,-0.0591628618990256
0,0.036,0.18273510743364546,0.9831621842357516,-0.16134954065233736,0.9868973227906132,-1.380830937078142,-0.0544280853711903
0,0.038,0.1822725813956569,0.9832480389359358,-0.16277334366547366,0.9866634880200856,-1.3716554324999073,-0.0496015221787173
0,0.04,0.18183996102476785,0.9833281388094774,-0.1642668161122531,0.9864159432634608,-1.3625639763625192,-0.0446826724714035
0,0.042,0.18143728118943633,0.9834025182978664,-0.16583016446020923,0.9861543269463964,-1.3535541201124488,-0.0396710385263494
0,0.044,0.18106458254168145,0.9834712079918795,-0.1674636101958137,0.9858782578291219,-1.3446233568470751,-0.034566125512783
0,0.046,0.1807219114382589,0.9835342346487499,-0.16916738942679552,0.9855873347169812,-1.3357691176527329,-0.0293674423428309
0,0.048,0.1804093198563824,0.9835916212071744,-0.17094175246069818,0.9852811361564097,-1.32698876785152,-0.0240745026077764
0,0.05,0.18012686530379793,0.9836433868002302,-0.1727869633587874,0.9849592201168783,-1.3182796031592936,-0.018686825599266
0,0.052,0.17987461072300606,0.9836895467662788,-0.17470329946438867,0.984621123659378,-1.3096388457577606,-0.0132039374148272
0,0.054,0.17965262438942323,0.9837301126579346,-0.17669105090469883,0.9842663625920542,-1.3010636402841755,-0.0076253721469333
0,0.056,0.1794609798032613,0.9837650922491881,-0.17875052006508424,0.9838944311136546,-1.2925510497427428,-0.0019506731547029
0,0.058,0.17929975557490002,0.9837944895407684,-0.18088202103485396,0.9835048014454971,-1.284098051342528,0.0038206055828524
0,0.06,0.17916903530352218,0.9838183047638447,-0.1830858790234682,0.9830969234527204,-1.2757015322674106,0.0096888980333243
0,0.062,0.17906890744877174,0.9838365343821621,-0.18536242974612438,0.9826702242556316,-1.267358285384414,0.0156546245986654
0,0.064,0.17899946519519605,0.9838491710927207,-0.18771201877764648,0.9822241078320265,-1.2590650048976129,0.0217181905259932
0,0.066,0.17896080630922767,0.9838562038251073,-0.19013500087359084,0.9817579546114203,-1.2508182819557496,0.0278799842435103
0,0.068,0.17895303298845772,0.9838576177395955,-0.19263173925747445,0.9812711210621865,-1.2426146002226666,0.0341403756239358
0,0.07,0.17897625170295692,0.9838533942241394,-0.19520260487303218,0.9807629392726781,-1.2344503314207322,0.0404997141781981
0,0.072,0.17903057302839512,0.9838435108903877,-0.19784797560040926,0.9802327165274682,-1.226321730858529,0.0469583271825272
0,0.074,0.1791161114707173,0.9838279415688546,-0.2005682354352109,0.9796797348799279,-1.218224932955266,0.0535165177425009
0,0.076,0.17923298528213463,0.9838066563033888,-0.20336377362934252,0.979103250722432,-1.2101559467755991,0.060174562798061
0,0.078,0.17938131626819562,0.9837796213450904,-0.20623498379260144,0.9785024943555665,-1.202110651589817,0.0669327110739936
0,0.08,0.17956122958570903,0.9837467991458312,-0.20918226295401193,0.9778766695577917,-1.1940847924757054,0.0737911809808968
0,0.082,0.17977285353130076,0.983708148351539,-0.21220601058193303,0.9772249531571021,-1.1860739759797732,0.0807501584721981
0,0.084,0.1800163193203955,0.9836636237954199,-0.21530662756202024,0.9765464946063088,-1.1780736658569302,0.087809794863377
0,0.086,0.18029176085642887,0.9836131764912913,-0.21848451513217756,0.9758404155636603,-1.1700791789091711,0.0949702046201509
0,0.088,0.18059931449011143,0.9835567536272128,-0.22174007377370267,0.9751058094806085,-1.1620856809452873,0.1022314631230188
0,0.09,0.1809391187685823,0.9834942985596047,-0.2250737020579085,0.9743417411986145,-1.1540881828850993,0.1095936044162196
0,0.092,0.18131131417431112,0.9834257508080537,-0.22848579544758835,0.9735472465569829,-1.1460815370332036,0.1170566189498384
0,0.094,0.18171604285363074,0.983351046051011,-0.23197674505279461,0.9727213320138048,-1.138060433548672,0.1246204513244918
0,0.096,0.1821534483348071,0.9832701161225936,-0.23554693634050697,0.9718629742821779,-1.1300193971386134,0.1322849980487282
0,0.098,0.18262367523558087,0.9831828890107115,-0.23919674779789324,0.9709711199839628,-1.121952784004864,0.1400501053199902
0,0.1,0.18312686896014801,0.983089288856741,-0.24292654954899529,0.9700446853234234,-1.1138547790744455,0.1479155668407065
0,0.102,0.18366317538557908,0.9829892359569793,-0.24673670192482342,0.9690825557831804,-1.1057193935456566,0.1558811216817724
0,0.104,0.1842327405377128,0.9828826467661151,-0.25062755398699876,0.96808358584499,-1.097540462782808,0.1639464522063862
0,0.106,0.18483571025660092,0.9827694339029567,-0.2545994420052573,0.9670465987379365,-1.0893116445936526,0.1721111820678607
0,0.108,0.1854722298516229,0.9826495061586643,-0.25865268788931217,0.9659703862166966,-1.0810264179244122,0.1803748742956787
0,0.11,0.18614244374643302,0.9825227685077359,-0.26278759757577047,0.9648537083725983,-1.072678082008015,0.1887370294846465
0,0.112,0.18684649511395413,0.9823891221219986,-0.2670044593710072,0.9636952934802557,-1.0642597560016265,0.197197084102549
0,0.114,0.18758452550167729,0.9822484643878607,-0.2713035422511247,0.962493837882608,-1.0557643791498568,0.205754408932189
0,0.116,0.1883566744475862,0.9821006889270805,-0.2756850941203557,0.9612480059172298,-1.0471847115100048,0.2144083076640959
0,0.118,0.18916307908707608,0.9819456856213059,-0.280149340029516,0.9599564298868083,-1.0385133352754337,0.2231580156565154
0,0.12,0.19000387375129751,0.9817833406406431,-0.2846964803563651,0.9586177100767009,-1.0297426567325974,0.2320026988795093
0,0.1220000000000001,0.190879189557414,0.981613536476502,-0.2893266889499977,0.9572304148224874,-1.0208649088863022,0.2409414530601062
0,0.1240000000000001,0.19178915399132512,0.9814361519789719,-0.2940401112416629,0.955793080630421,-1.0118721547864933,0.2499733030454377
0,0.126,0.19273389048346912,0.9812510623989694,-0.298836862324686,0.9543042123536586,-1.002756291588202,0.2590972024006446
0,0.128,0.19371351797838238,0.981058139435395,-0.3037170250064522,0.9527622834271045,-0.9935090553741838,0.2683120332580495
0,0.1300000000000001,0.1947281504987612,0.9808572512875315,-0.30868064783570215,0.9511657361636463,-0.984122026767284,0.277616606433642
0,0.1320000000000001,0.1957778967048315,0.9806482627129017,-0.3137277431086798,0.9495129821144808,-0.9745866373566012,0.2870096618263124
0,0.1340000000000001,0.1968628594499008,0.9804310350907954,-0.31885828485796175,0.9478024024961316,-0.9648941769581194,0.2964898691144711
0,0.1360000000000001,0.1979831353330291,0.9802054264916633,-0.3240722068280906,0.9460323486866458,-0.9550358017266186,0.3060558287637285
0,0.1380000000000001,0.1991388142498183,0.9799712917525576,-0.3293694004424164,0.9442011427933156,-0.9450025431313231,0.3157060733581407
0,0.1400000000000001,0.2003299789423805,0.979728482558788,-0.3347497127658291,0.9423070782941169,-0.9347853178030135,0.3254390692661725
0,0.1420000000000001,0.20155670454960384,0.9794768475319382,-0.3402129444683335,0.9403484207548746,-0.9243749382550496,0.3352532186509857
0,0.1440000000000001,0.20281905815888973,0.9792162323243733,-0.345758847794676,0.9383234086239659,-0.913762124475154,0.3451468618329176
0,0.1460000000000001,0.20411709836058747,0.9789464797203442,-0.35138712454547083,0.9362302541061498,-0.90293751637874,0.3551182800100841
0,0.1480000000000001,0.2054508748063967,0.9786674297437747,-0.357097424075501,0.934067144116868,-0.8918916871081747,0.3651656983409285
0,0.1500000000000001,0.2068204277730538,0.9783789197727898,-0.3628893413150699,0.9318322413181005,-0.8806151571556422,0.3752872893902647
0,0.1520000000000001,0.20822578773264974,0.9780807846610204,-0.36876241482045957,0.929523685236575,-0.8690984092803073,0.3854811769378947
0,0.1540000000000001,0.20966697493096179,0.9777728568656933,-0.3747161248597061,0.9271395934648272,-0.8573319041832528,0.3957454401463255
0,0.1560000000000001,0.2111439989751979,0.9774549665824823,-0.38074989154002475,0.9246780629452931,-0.8453060968963716,0.4060781180813679
0,0.1580000000000001,0.21265685843257354,0.9771269418870756,-0.3868630729833126,0.9221371713372736,-0.8330114538339664,0.4164772145766084
0,0.1600000000000001,0.2142055404411433,0.9767886088833744,-0.39305496355621145,0.9195149784662702,-0.8204384704484413,0.4269407034298513
0,0.1620000000000001,0.21579002033430902,0.9764397918582172,-0.399324792161239,0.9168095278548228,-0.8075776894241948,0.4374665339166861
0,0.1640000000000001,0.21741026128041618,0.9760803134424857,-0.4056717205954753,0.9140188483336144,-0.7944197193367384,0.4480526366033971
0,0.1660000000000001,0.2190662139388265,0.975709994778422,-0.4120948419832391,0.9111409557312246,-0.7809552536972552,0.4586969294384905
0,0.1680000000000001,0.2207578161338303,0.9753286556929526,-0.41859317928908607,0.9081738546405391,-0.7671750902964429,0.4693973240992392
