episode,time,theta1,theta2,omega1,omega2,tau1_dynamics,tau2_dynamics,kinetic_energy,potential_energy
0,0.002,-0.11622483703856096,-0.030364970914710073,-0.8547873215345771,0.47484848208446817,1.2092006978343075,0.3554523845699977,0.47807122299709004,0.0
0,0.004,-0.11793855414535577,-0.029413475661990336,-0.8589502596140006,0.4766892715771414,1.2236222270204586,0.3573622179352627,0.4825141050638524,0.0
0,0.006,-0.11966072011572734,-0.028458043591788645,-0.8632362584138732,0.47878542349080483,1.2381140359067355,0.35928397300611037,0.4872061597938263,0.0
0,0.008,-0.12139158152112126,-0.02749816320714271,-0.8676457730351396,0.4811377242325445,1.2526773501558555,0.36121713633733127,0.4921513485727084,0.0
0,0.01,-0.12313138587375604,-0.026533321352602342,-0.8721792891469988,0.48374704586083705,1.267313403262555,0.363161197262429,0.49735395839802554,0.0
0,0.012,-0.12488038168774321,-0.025563003043060837,-0.8768373229705887,0.4866143459512701,1.2820234369777128,0.3651156479340397,0.5028186063199054,0.0
0,0.014,-0.12663881854017556,-0.024586691292855973,-0.8816204212635329,0.4897406674610186,1.2968087017425791,0.3670799833752066,0.5085502442770266,0.0
0,0.016,-0.1284069471321852,-0.023603866945144197,-0.8865291613050478,0.4931271385909988,1.311670457133384,0.3690537015421603,0.5145541643295888,0.0
0,0.018000000000000002,-0.130185019349972,-0.02261400850155381,-0.8915641508812727,0.4967749726445239,1.326609972316614,0.37103630339929056,0.5208360042913062,0.0
0,0.020000000000000004,-0.13197328832580277,-0.02161659195212538,-0.8967260282704603,0.5006854678811836,1.3416285265152574,0.3730272930070092,0.527401753762557,0.0
0,0.022000000000000006,-0.13377200849898016,-0.020611090605550313,-0.9020154622276285,0.5048600073645703,1.3567274094863202,0.37502617762323764,0.5342577605669381,0.0
0,0.024000000000000007,-0.1355814356767802,-0.019596974919721368,-0.9074331519682445,0.509300058802364,1.3719079220099235,0.3770324678192754,0.5414107375935572,0.0
0,0.02600000000000001,-0.1374018270953556,-0.018573712332611944,-0.9129798271504765,0.5140071743771802,1.3871713763902955,0.37904567761083635,0.5488677700474636,0.0
0,0.02800000000000001,-0.13923344148060193,-0.01754076709350435,-0.9186562478555136,0.5189829905664676,1.402519096968977,0.3810653246050654,0.5566363231106425,0.0
0,0.030000000000000013,-0.14107653910898196,-0.016497600094590715,-0.9244632045654152,0.524229227949622,1.4179524206505565,0.3830909301643865,0.5647242500160068,0.0
