time,theta1,theta2,omega1,omega2,tau1,tau2,bias1,bias2
0.2004990577697754,-0.3314187685673293,-0.0540431808298345,0.45933847382061477,-0.4648112240820401,1.1570239,1.1894746,3.3147037718328107,0.9206840431319653
0.22153878211975098,-0.3021769277025867,-0.08157840959387332,2.0930182685331147,-1.3742730970612254,0.99428,0.7449448,3.0609497982993776,0.8033511090133753
0.24269700050354004,-0.25552222519235607,-0.09881948930270293,2.4344130927168317,-0.3892026623990493,0.6377104,0.32565847,2.7084515682825097,0.778117226043991
0.26344990730285645,-0.20809219543738278,-0.09999462337245965,2.2783577343337886,0.20379859208925666,0.56244767,0.22187328,2.288729161944948,0.681617232863548
0.28433847427368164,-0.16385821938570577,-0.0933732211408432,2.162482644825015,0.4097787284648825,0.5062062,0.12560603,1.8480644296086137,0.5709340429085942
0.3048546314239502,-0.12111469726996268,-0.08490019647167381,2.118921810881544,0.42202048891588073,0.34308234,0.032241262,1.4115756740275835,0.4546005997382998
0.3260316848754883,-0.07888286610804005,-0.07706547462867783,2.1077666976010594,0.3571786436951687,0.13244751,-0.06134329,0.97616508151872,0.33819108341266363
0.3470642566680908,-0.03673473941612846,-0.07075893353885593,2.1091285198761693,0.2736605622198317,-0.08418407,-0.1497423,0.5441056045396917,0.22383077027092368
0.36808204650878906,0.005480967712546782,-0.06604862563375384,2.1138745249879167,0.19956138752940195,-0.29456443,-0.23807895,0.11525388947343398,0.11153269030281446
0.3887810707092285,0.04781084857842136,-0.06267668509878564,2.120391895501838,0.14026156727479702,-0.5187343,-0.32850635,-0.3105529938507365,0.0011739497161369558
0.40985703468322754,0.07877066183907439,-0.03283497847182358,0.7871073286832455,3.2927454351805348,-0.038687937,-0.9060706,-0.6401856038028154,-0.15397113946009053
0.43051695823669434,0.08625330915345522,0.05058319114556485,0.0723366517116788,4.780098844065861,-1.2542591,-1.4394095,-1.1161639351844401,-0.3275328580384039
0.45154452323913574,0.08553926717660915,0.12395975635809073,-0.07688506287114827,2.0185325571122235,-0.59887654,-1.6273925,-1.1565501107568341,-0.4502138812045454
0.4721643924713135,0.08293957159885954,0.1443955341505465,-0.17813559924689187,0.24940370840347947,-0.0017508343,-1.3877702,-1.1702686054262081,-0.5608840805123723
0.4928443431854248,0.07879397717224611,0.14026115142088114,-0.22917129627871363,-0.5401914567817339,-0.034622483,-0.9514849,-1.1289172372418743,-0.537104398664463
0.513871431350708,0.07406451213505946,0.1262558979239587,-0.2374848800559137,-0.8024818219372157,-0.13464123,-0.71410096,-1.0531795006253553,-0.4899068081467287
0.5346698760986328,0.0695047445149931,0.1092576948123039,-0.21273962969579852,-0.9069833503549488,-0.15620753,-0.55672807,-0.9637310578448316,-0.43527000010088823
