episode,time,theta1,theta2,omega1,omega2,tau1_dynamics,tau2_dynamics,kinetic_energy,potential_energy
0,0.002,-0.028030359102973783,0.009458195407513689,0.25578686230768066,0.6065649433774838,0.25095011533432354,0.045622910071587995,0.21667397473186925,0.0
0,0.004,-0.027520413407127218,0.010674135252164622,0.2541543755074627,0.6094018134770801,0.24286060332651757,0.04139967297078785,0.21798250842937114,0.0
0,0.006,-0.027013759545706024,0.011895910618541304,0.25249497030603874,0.6124006235442977,0.23478714242031276,0.037169856162667346,0.219394116873646,0.0
0,0.008,-0.026510451705636196,0.013123846353429874,0.2508082942417229,0.6155623485489039,0.22672933138766843,0.03293280512523867,0.22091090270574246,0.0
0,0.01,-0.02601054479280692,0.014358269302311839,0.24909398080722478,0.6188880122385281,0.21868676776507315,0.028687862152840148,0.22253509148347328,0.0
0,0.012,-0.0255140944601964,0.01559950840705255,0.24735164941508586,0.6223786872716832,0.2106590476401613,0.024434366205003204,0.2242690344191936,0.0
0,0.014,-0.025021157136066396,0.01684789480385721,0.2455809053635709,0.6260354953522016,0.202645765431249,0.020171652755586928,0.2261152112600338,0.0
0,0.016,-0.02453179005222437,0.01810376192149673,0.24378133980320835,0.6298596073645641,0.19464651365927685,0.015899053642236174,0.22807623331284513,0.0
0,0.018000000000000002,-0.024046051272351703,0.019367445579804698,0.2419525297041875,0.633852243509564,0.18666088271163214,0.01161589691622137,0.2301548466161817,0.0
0,0.020000000000000004,-0.023563999720396127,0.02063928408844549,0.24009403782483565,0.638014673439708,0.17868846059730736,0.00732150669272549,0.23235393526170542,0.0
0,0.022000000000000006,-0.023085695209025866,0.021919618345952407,0.23820541268141165,0.6423482163937176,0.17072883269283365,0.003015203001646819,0.23467652486745597,0.0
0,0.024000000000000007,-0.022611198468142704,0.023208791939033344,0.23628618851946986,0.6468542413294501,0.1627815814784108,-0.0013036983610062516,0.23712578620547847,0.0
0,0.02600000000000001,-0.022140571173450526,0.02450715124214013,0.23433588528706328,0.6515341670545154,0.1548462862636362,-0.00563588598104834,0.23970503898634643,0.0
0,0.02800000000000001,-0.021673875975075363,0.025815045517296156,0.23235400861007208,0.6563894623538198,0.146922522902213,-0.009982052973290013,0.24241775580315303,0.0
0,0.030000000000000013,-0.021211176526232414,0.027132827014175343,0.2303400497699612,0.66142164611322,0.13900986349500083,-0.014342897127856986,0.2452675662375749,0.0
0,0.032000000000000015,-0.020752537511934857,0.0284608510704238,0.22829348568428892,0.6666322874384207,0.1311078760807453,-0.018719121055554802,0.24825826113063193,0.0
0,0.034000000000000016,-0.020298024677738603,0.02979947621221378,0.2262137788903071,0.6720230057681983,0.12321612431380488,-0.023111432332170376,0.25139379702077835,0.0
0,0.03600000000000002,-0.019847704858516464,0.03114906425501758,0.22410037753201398,0.6775954709809789,0.1153341671281647,-0.02752054364159491,0.25467830075196296,0.0
0,0.03800000000000002,-0.019401646007254445,0.03250998040458713,0.22195271535104022,0.6833514034937449,0.1074615583870058,-0.0319471729176439,0.2581160742542854,0.0
0,0.04000000000000002,-0.018959917223862106,0.033882593358122784,0.21977021168177113,0.689292574352182,0.09959784651707003,-0.03639204348444167,0.26171159949985445,0.0
0,0.04200000000000002,-0.018522588783988065,0.03526727540561275,0.2175522714511296,0.6954208053109244,0.09174257412703495,-0.040855884195228565,0.26546954363642034,0.0
0,0.044000000000000025,-0.018089732167830944,0.03666440253132206,0.2152982851834674,0.7017379689026856,0.083895277609084,-0.04533942956944025,0.2693947643013041,0.0
0,0.04600000000000003,-0.017661420088934992,0.03807435451540764,0.21300762901103726,0.708245988495003,0.07605548672283016,-0.04984341992789778,0.2734923151180838,0.0
0,0.04800000000000003,-0.0172377265229588,0.03949751503563338,0.2106796646905418,0.7149468383332527,0.06822272416071898,-0.05436860152593693,0.27776745137841663,0.0
0,0.05000000000000003,-0.016818726736404395,0.04093427176915635,0.2083137396262831,0.7218425435685206,0.0603965050940071,-0.058915726684295386,0.28222563591127925,0.0
0,0.05200000000000003,-0.016404497315292976,0.042385016494352334,0.20590918690046192,0.7289351802688434,0.052576336698381965,-0.06348555391756311,0.28687254514179034,0.0
0,0.054000000000000034,-0.015995116193772432,0.043850145192645955,0.20346532531120481,0.7362268754122548,0.044761717658251786,-0.06807884805999148,0.2917140753416431,0.0
0,0.056000000000000036,-0.015590662682640574,0.04533005815030732,0.20098145941892592,0.7437198068599947,0.03695213764870537,-0.07269638038844274,0.2967563490730146,0.0
0,0.05800000000000004,-0.015191217497766765,0.04682516006017384,0.1984568796016604,0.7514162033081551,0.029147076794104006,-0.07733892874224899,0.3020057218276353,0.0
0,0.06000000000000004,-0.01479686278839338,0.04833586012325224,0.19589086212003784,0.7593183442159511,0.02134600510223309,-0.08200727763973661,0.3074687888624926,0.0
0,0.06200000000000004,-0.01440768216529708,0.04986257215015218,0.1932826691925962,0.7674285597087194,0.013548381872904917,-0.08670221839115805,0.313152392233407,0.0
0,0.06400000000000004,-0.014023760728788519,0.05140571466229896,0.19063154908217045,0.7757492304536494,0.00575365507986802,-0.09142454920775676,0.31906362802744864,0.0
0,0.06600000000000004,-0.013645185096527557,0.05296571099286864,0.18793673619412452,0.7842827875061644,-0.0020387392751615952,-0.09617507530667892,0.3252098537948697,0.0
0,0.06800000000000005,-0.013272043431129501,0.05454298938738486,0.18519745118723127,0.7930317121247659,-0.009829377837566423,-0.10095460901142608,0.3315986961808922,0.0
0,0.07000000000000005,-0.012904425467536234,0.056137983103911784,0.18241290109804192,0.8019985355520566,-0.017618850605252135,-0.10576396984752998,0.3382380587573237,0.0
0,0.07200000000000005,-0.012542422540124396,0.057751130512773405,0.1795822794796244,0.8111858387595521,-0.025407761665728466,-0.11060398463311083,0.34513613005356797,0.0
0,0.07400000000000005,-0.012186127609520946,0.05938287519572412,0.17670476655558967,0.8205962521537833,-0.03319672996618517,-0.11547548756396542,0.3523013917861505,0.0
0,0.07600000000000005,-0.011835635289094594,0.06103366604449065,0.17377952939036537,0.8302324552410819,-0.040986390117939656,-0.12037932029281093,0.359742627285386,0.0
0,0.07800000000000006,-0.011491041871089612,0.06270395735859997,0.1708057220767174,0.8400971762483257,-0.048777393236673565,-0.12531633200229333,0.3674689301172796,0.0
0,0.08000000000000006,-0.011152445352366473,0.06439420894240233,0.16778248594156325,0.8501931916968061,-0.05657040781991399,-0.13028737947134925,0.37548971289816646,0.0
